of , o , 109 , 1418327508794 , 523.2685 , 268.0305
troubles , o , 168 , 1418327583190 , 850.4323 , 305.5851
troubles , o , 168 , 1418327583224 , 838.9168 , 301.1003
troubles , o , 168 , 1418327583260 , 835.0542 , 307.9428
troubles , o , 168 , 1418327583294 , 840.6155 , 305.0848
troubles , o , 168 , 1418327583341 , 838.5379 , 306.7439
troubles , o , 168 , 1418327583376 , 836.8043 , 303.3094
troubles , r , 167 , 1418327583411 , 825.6913 , 307.6737
take , e , 142 , 1418327583445 , 223.4324 , 330.6295
to , t , 136 , 1418327583480 , 76.7479 , 374.4515
to , t , 136 , 1418327583526 , 75.1599 , 376.5047
to , t , 136 , 1418327583560 , 70.6104 , 370.3262
to , t , 136 , 1418327583595 , 73.0921 , 372.3006
to , t , 136 , 1418327583630 , 69.3644 , 372.0871
to , t , 136 , 1418327583664 , 70.3115 , 376.0405
to , t , 136 , 1418327583711 , 69.2764 , 376.4947
opposing , i , 189 , 1418327583780 , 276.8045 , 421.5432
opposing , i , 189 , 1418327583815 , 289.6829 , 406.1524
opposing , i , 189 , 1418327583860 , 292.4315 , 407.0637
opposing , i , 189 , 1418327583896 , 294.9583 , 407.4877
opposing , i , 189 , 1418327583931 , 297.1941 , 410.616
them , t , 198 , 1418327584001 , 499.5143 , 397.808
them , t , 198 , 1418327584036 , 497.9365 , 398.5646
them , t , 198 , 1418327584071 , 492.7153 , 396.3024
them , t , 198 , 1418327584116 , 494.4656 , 401.4345
them , t , 198 , 1418327584151 , 494.7772 , 403.4258
them , t , 198 , 1418327584185 , 496.2335 , 404.8811
them , t , 198 , 1418327584219 , 496.9312 , 404.4585
them , t , 198 , 1418327584265 , 497.0906 , 403.572
die , d , 207 , 1418327584299 , 730.5305 , 418.8077
To , T , 204 , 1418327584485 , 640.3651 , 416.561
nhj , n , 195 , 1418327584520 , 427.0252 , 409.5646
end , e , 194 , 1418327584554 , 410.5419 , 403.802
against , g , 150 , 1418327584600 , 402.2005 , 388.8199
end , e , 194 , 1418327584635 , 400.1371 , 391.9927
end , e , 194 , 1418327584669 , 398.7222 , 401.6669
end , e , 194 , 1418327584704 , 396.5935 , 404.6295
To , T , 204 , 1418327584971 , 641.0334 , 420.3975
To , T , 204 , 1418327585041 , 639.6454 , 429.9364
end , d , 196 , 1418327585445 , 464.3967 , 411.0082
them , t , 198 , 1418327585594 , 504.8568 , 423.6296
them , h , 199 , 1418327585629 , 532.4025 , 427.4084
them , e , 200 , 1418327585663 , 549.7773 , 423.3695
them , m , 201 , 1418327585710 , 564.4354 , 424.1229
them , m , 201 , 1418327585745 , 574.5369 , 426.835
them , m , 201 , 1418327585787 , 583.2206 , 430.6502
we , e , 256 , 1418327585812 , 785.8619 , 488.2227
to , t , 212 , 1418327585856 , 847.3163 , 459.9928
to , t , 212 , 1418327585892 , 849.444 , 479.4633
to , o , 213 , 1418327585928 , 853.2381 , 474.363
to , t , 212 , 1418327585965 , 850.425 , 467.7122
to , t , 212 , 1418327586001 , 849.9349 , 469.9236
to , t , 248 , 1418327586034 , 607.3033 , 495.589
sleep , p , 245 , 1418327586081 , 522.8906 , 506.9061
sleep , p , 245 , 1418327586116 , 516.7725 , 498.4674
sleep , e , 244 , 1418327586151 , 513.7141 , 504.9212
sleep , e , 244 , 1418327586186 , 512.124 , 502.374
sleep , e , 244 , 1418327586221 , 507.2345 , 504.4706
sleep , e , 243 , 1418327586255 , 491.0976 , 509.1004
sleep , e , 243 , 1418327586301 , 481.1262 , 516.1914
sleep , e , 243 , 1418327586335 , 476.9521 , 521.6219
sleep , e , 243 , 1418327586370 , 472.0378 , 525.8014
sleep , l , 242 , 1418327586404 , 466.2398 , 528.3234
sleep , l , 242 , 1418327586450 , 453.0793 , 526.2773
by , y , 237 , 1418327586485 , 330.5538 , 501.2585
by , y , 237 , 1418327586519 , 341.9306 , 503.5731
by , y , 237 , 1418327586553 , 335.4062 , 496.1425
by , y , 237 , 1418327586588 , 329.8212 , 502.8987
by , y , 237 , 1418327586634 , 333.167 , 512.2313
by , y , 237 , 1418327586668 , 337.0458 , 512.0803
by , y , 237 , 1418327586703 , 336.4416 , 516.223
by , y , 237 , 1418327586738 , 337.1588 , 521.7007
by , y , 237 , 1418327586782 , 326.0756 , 525.3172
by , b , 236 , 1418327586817 , 307.5357 , 524.586
more , m , 226 , 1418327586887 , 72.0685 , 531.4614
more , m , 226 , 1418327587036 , 62.2881 , 516.9978
to , o , 249 , 1418327587116 , 627.7163 , 562.9415
to , o , 249 , 1418327587152 , 625.1755 , 564.6968
to , o , 249 , 1418327587187 , 623.8787 , 567.6509
to , o , 249 , 1418327587222 , 619.9962 , 566.5447
to , o , 249 , 1418327587258 , 622.8478 , 561.5002
to , o , 249 , 1418327587293 , 623.5291 , 557.7444
to , o , 249 , 1418327587338 , 624.0353 , 556.4326
to , o , 249 , 1418327587373 , 625.9896 , 554.8872
to , o , 249 , 1418327587408 , 623.8301 , 552.522
to , o , 249 , 1418327587444 , 622.5185 , 548.6379
say , s , 251 , 1418327587595 , 665.7272 , 539.227
say , s , 251 , 1418327587630 , 672.051 , 536.9585
say , s , 251 , 1418327587665 , 679.4032 , 534.4561
say , a , 252 , 1418327587699 , 685.8792 , 533.0186
mind , i , 72 , 1418327587745 , 680.3262 , 186.6595
mind , m , 71 , 1418327587780 , 650.6129 , 186.1766
mind , m , 71 , 1418327587814 , 657.3862 , 178.2354
mind , m , 71 , 1418327587850 , 656.9305 , 173.9765
mind , m , 71 , 1418327587884 , 650.9907 , 173.2664
mind , m , 71 , 1418327587929 , 649.3475 , 175.044
mind , m , 71 , 1418327587965 , 650.2114 , 172.2113
mind , m , 71 , 1418327588000 , 651.0809 , 170.4203
mind , m , 71 , 1418327588034 , 648.7292 , 168.4874
mind , m , 71 , 1418327588070 , 650.4327 , 168.5881
mind , m , 71 , 1418327588116 , 645.832 , 168.4004
Nobler , r , 62 , 1418327588151 , 430.3286 , 205.9247
Nobler , r , 62 , 1418327588186 , 435.3361 , 204.6503
Nobler , r , 62 , 1418327588220 , 435.8318 , 204.5228
Nobler , r , 62 , 1418327588255 , 434.5318 , 202.7873
Nobler , r , 62 , 1418327588299 , 434.9889 , 202.3394
Nobler , r , 62 , 1418327588334 , 437.9289 , 203.6046
Nobler , r , 62 , 1418327588369 , 436.9233 , 201.3927
Nobler , r , 62 , 1418327588403 , 442.2194 , 194.0008
Nobler , r , 62 , 1418327588705 , 441.4657 , 178.2988
Nobler , r , 62 , 1418327588740 , 434.9071 , 183.1781
Nobler , r , 62 , 1418327588774 , 428.2905 , 187.3025
Nobler , r , 62 , 1418327588809 , 422.8239 , 190.8782
Nobler , e , 61 , 1418327588856 , 413.8105 , 193.632
and , a , 98 , 1418327588890 , 270.101 , 212.6038
tis , s , 55 , 1418327588925 , 268.501 , 199.7334
and , a , 98 , 1418327588959 , 266.2567 , 210.1667
and , a , 98 , 1418327589004 , 272.2467 , 208.4652
and , a , 98 , 1418327589038 , 274.2466 , 208.7661
and , a , 98 , 1418327589074 , 273.649 , 208.3059
and , a , 98 , 1418327589109 , 274.1848 , 207.2722
tis , s , 55 , 1418327589144 , 274.1394 , 206.7666
tis , s , 55 , 1418327589189 , 271.7942 , 206.1763
tis , s , 55 , 1418327589225 , 271.0381 , 205.0175
tis , s , 55 , 1418327589260 , 269.1913 , 203.9978
be , e , 6 , 1418327589295 , 117.2971 , 50.8625
or , o , 9 , 1418327590849 , 201.5172 , 41.3172
or , r , 10 , 1418327590883 , 205.8975 , 28.7278
or , o , 9 , 1418327590919 , 203.3858 , 29.8788
or , o , 9 , 1418327590963 , 202.8666 , 30.5366
or , o , 9 , 1418327590999 , 201.9114 , 53.6753
or , o , 9 , 1418327591033 , 201.9788 , 73.6365
or , o , 9 , 1418327591068 , 201.4944 , 87.6768
or , o , 9 , 1418327591112 , 200.8758 , 98.005
or , o , 9 , 1418327591146 , 201.4646 , 106.7486
or , o , 9 , 1418327591181 , 203.1813 , 114.6982
or , o , 9 , 1418327591215 , 202.7618 , 104.0516
or , o , 9 , 1418327591261 , 203.5333 , 89.2754
or , r , 10 , 1418327591295 , 204.3046 , 75.9452
or , r , 10 , 1418327591330 , 204.5075 , 65.1472
or , r , 10 , 1418327591364 , 205.5896 , 56.6986
or , r , 10 , 1418327591409 , 207.0253 , 50.1332
or , r , 10 , 1418327591443 , 208.3676 , 43.9727
or , r , 10 , 1418327591478 , 210.9166 , 39.7316
or , r , 10 , 1418327591513 , 213.9322 , 36.5754
or , r , 10 , 1418327591549 , 218.84 , 33.1648
Slings , i , 93 , 1418327591594 , 153.2836 , 231.6265
And , A , 177 , 1418327591664 , -704.3269 , 401.675
Or , O , 133 , 1418327591699 , -673.1215 , 387.6875
Or , O , 133 , 1418327591733 , -422.9968 , 381.091
Or , O , 133 , 1418327591778 , -292.0121 , 380.4394
Or , O , 133 , 1418327591813 , -213.2706 , 386.3951
Arrows , A , 102 , 1418327591848 , 359.1457 , 210.1001
thousand , o , 289 , 1418327595662 , 627.0233 , 576.1207
thousand , t , 287 , 1418327596101 , 579.0488 , 642.8521
die , i , 383 , 1418327596145 , 652.0602 , 772.4653
die , e , 384 , 1418327596180 , 662.8736 , 781.1917
die , e , 384 , 1418327596214 , 672.8778 , 778.8842
die , e , 384 , 1418327596249 , 675.0638 , 786.7963
die , e , 384 , 1418327596295 , 669.7926 , 790.9098
die , e , 384 , 1418327596330 , 660.0113 , 784.6584
die , i , 383 , 1418327596401 , 637.6559 , 808.9033
die , d , 382 , 1418327596436 , 633.9555 , 794.8787
die , d , 382 , 1418327596480 , 633.989 , 787.209
Tis , i , 337 , 1418327596515 , 595.4709 , 725.4183
the , e , 285 , 1418327596621 , 525.9795 , 635.0435
Arms , r , 145 , 1418327596666 , 281.8802 , 299.336
Arms , r , 145 , 1418327596701 , 280.9019 , 311.152
and , a , 98 , 1418327596735 , 269.9453 , 286.0672
and , a , 98 , 1418327596769 , 270.2599 , 278.1576
and , n , 99 , 1418327596804 , 279.1023 , 273.5594
and , n , 99 , 1418327596850 , 278.2689 , 269.3097
and , n , 99 , 1418327596888 , 278.609 , 267.7293
and , n , 99 , 1418327596923 , 281.4113 , 263.1038
and , n , 99 , 1418327596992 , 289.3097 , 277.325
and , n , 99 , 1418327597106 , 291.7318 , 278.2259
No , N , 223 , 1418327597628 , -44.7539 , 505.181
No , N , 223 , 1418327597663 , -429.0797 , 571.4468
No , N , 223 , 1418327597698 , -298.2601 , 534.8677
No , N , 223 , 1418327597733 , -234.034 , 504.6467
And , A , 177 , 1418327597767 , -134.9831 , 452.5645
And , A , 177 , 1418327597882 , -133.2126 , 429.815
Slings , l , 92 , 1418327597917 , 131.4518 , 236.347
a , a , 157 , 1429674804282 , 575.9102 , 369.1556
